Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.44855E-8,0.000009449,0.00025664,1,0,0
9.51617E-8,0.000018965,0.000258476,0.999769426,0,0
9.73325E-8,0.000028698,0.000264372,0.999538852,0,0
1.12811E-7,0.000060611,0.000306408,0.998847129,0,0
1.17884E-7,0.000106825,0.000320183,0.997924833,0,0
1.22791E-7,0.000251494,0.00033351,0.995157943,0,0
1.32984E-7,0.000508014,0.00036119,0.990546461,0,0
1.54528E-7,0.001008188,0.000419692,0.982476366,0,0
1.7677E-7,0.002517083,0.000480087,0.962185843,0,0
1.88383E-7,0.005018078,0.000511618,0.930366613,0,0
4.64368E-7,0.010013255,0.001260674,0.892321881,0,0
7.13493E-7,0.025031567,0.001936348,0.829836292,0,0
1.6842E-6,0.050024858,0.00456474,0.776804243,0,0
4.07094E-6,0.100055826,0.010997902,0.728383675,0.000462107,0
9.4608E-6,0.200666124,0.025373094,0.693566982,0.001848429,0
1.70464E-5,0.300468487,0.045251236,0.676043348,0.002772643,0
2.94617E-5,0.401219384,0.076914688,0.66612866,0.00323475,0
3.41013E-5,0.500210728,0.088475918,0.658980862,0.005545287,0
3.97585E-5,0.603035739,0.102376959,0.652524787,0.005545287,0
4.57417E-5,0.703059395,0.116848613,0.647221582,0.006007394,0
4.84866E-5,0.750110864,0.123409539,0.64491584,0.006007394,0
5.13128E-5,0.800259243,0.130113757,0.642610099,0.006007394,0
5.79482E-5,0.904924941,0.145653218,0.638229191,0.006931608,0
6.03309E-5,1.000034388,0.151165272,0.634540005,0.007393715,0
6.37822E-5,1.10527967,0.159086174,0.630620244,0.008780037,0
7.36004E-5,1.202589203,0.181218175,0.627392207,0.008780037,0
7.6302E-5,1.307370831,0.187205209,0.624164169,0.008780037,0
7.98224E-5,1.401232548,0.194941107,0.621397279,0.009704251,0
8.42523E-5,1.500786042,0.204571145,0.61863039,0.009704251,0
8.87558E-5,1.752054201,0.214242992,0.61194374,0.010628466,0
9.71203E-5,2.001297516,0.23189593,0.605718238,0.01155268,0
1.08986E-4,2.260811621,0.256260004,0.599953885,0.013401109,0
1.19883E-4,2.500748673,0.277953648,0.595111828,0.015249538,0
1.28916E-4,2.750877397,0.295456457,0.590500346,0.018022181,0
1.35611E-4,3.004169291,0.308152908,0.586119437,0.020332717,0
1.43577E-4,3.255448887,0.322964451,0.581969103,0.020794824,0
1.50787E-4,3.505774936,0.336095923,0.578049343,0.021256932,0
1.62017E-4,3.756034111,0.356044198,0.574360157,0.024491682,0
1.68014E-4,4.002459584,0.366449809,0.570901545,0.026802218,0
1.74532E-4,4.260571385,0.377567436,0.567442933,0.030961183,0
1.85001E-4,4.511095942,0.395019654,0.564214895,0.032347505,0
1.92995E-4,4.757328184,0.408015813,0.561217431,0.035120148,0
1.98601E-4,5.011656259,0.416963067,0.558219968,0.038817006,0
2.05834E-4,5.25448158,0.428307017,0.555453078,0.040203327,0
2.18076E-4,5.510510413,0.447006626,0.552686189,0.041127542,0
2.27308E-4,5.755067023,0.460702828,0.550149873,0.043900185,0
2.32098E-4,6.007887242,0.467675285,0.547613558,0.047134935,0
2.36187E-4,6.265018614,0.473554916,0.545077242,0.049907579,0
2.45486E-4,6.504255304,0.486687415,0.542771501,0.052680222,0
2.49749E-4,6.75274576,0.49259681,0.54046576,0.055914972,0
2.54378E-4,7.004497983,0.498937856,0.538160018,0.059149723,0
2.62528E-4,7.261730538,0.509909947,0.535854277,0.061922366,0
2.74397E-4,7.505626905,0.52545915,0.53377911,0.064695009,0
2.76641E-4,7.753572914,0.528342845,0.531703943,0.066081331,0
2.80454E-4,8.003476408,0.533203087,0.529628776,0.068391867,0
2.84599E-4,8.258083583,0.538429511,0.527553608,0.071626617,0
2.86461E-4,8.515010085,0.540759072,0.525478441,0.075323475,0
2.89417E-4,8.774338051,0.544431589,0.523403274,0.077634011,0
2.90969E-4,9.0066425,0.546348803,0.521558681,0.079020333,0
2.92154E-4,9.268992774,0.547806509,0.519483514,0.080406654,0
2.9459E-4,9.503906812,0.550789093,0.517638921,0.08271719,0
2.97845E-4,9.77131262,0.554743038,0.515563754,0.085951941,0
3.0114E-4,10.011102651,0.558710993,0.513719161,0.088724584,0
3.03104E-4,10.253040087,0.561059044,0.511874568,0.091497227,0
3.04691E-4,10.526806372,0.562948012,0.509799401,0.092883549,0
3.0554E-4,10.770858485,0.563954645,0.507954807,0.095656192,0
3.07601E-4,11.016342437,0.566388813,0.506110214,0.097966728,0
3.10209E-4,11.263679763,0.56945028,0.504265621,0.100277264,0
3.13527E-4,11.513293479,0.573313211,0.502421028,0.1025878,0
3.14551E-4,11.764623956,0.574498328,0.500576435,0.105822551,0
3.18238E-4,12.017675757,0.578739327,0.498731842,0.10767098,0
3.19753E-4,12.272865346,0.580469658,0.496887249,0.109057301,0
3.21043E-4,12.529155573,0.581937262,0.495042656,0.111367837,0
3.22453E-4,12.754366583,0.583534566,0.493428637,0.112754159,0
3.23525E-4,13.012800179,0.584745737,0.491584044,0.115988909,0
3.2464E-4,13.272120842,0.586001813,0.489739451,0.117837338,0
3.26127E-4,13.500048615,0.587670459,0.488125432,0.121072089,0
3.2854E-4,13.761865788,0.590364953,0.486280839,0.12245841,0
3.32034E-4,14.026118364,0.594234994,0.484436246,0.125231054,0
3.3337E-4,14.258859021,0.595704739,0.482822227,0.128003697,0
3.33917E-4,14.525780929,0.596305277,0.480977634,0.13077634,0
3.35919E-4,14.76030102,0.598494344,0.479363615,0.132162662,0
3.36875E-4,15.029495062,0.59953586,0.477519022,0.134011091,0
3.38186E-4,15.265848173,0.600959564,0.475905003,0.136783734,0
3.39366E-4,15.503093588,0.60223653,0.474290985,0.138632163,0
3.40505E-4,15.775133424,0.60346554,0.472446392,0.140942699,0
3.41613E-4,16.013802222,0.604657325,0.470832373,0.142791128,0
3.42376E-4,16.253239217,0.60547564,0.469218354,0.145101664,0
3.44739E-4,16.528134684,0.608000301,0.467373761,0.146950092,0
3.45992E-4,16.769991973,0.609331851,0.465759742,0.149260628,0
3.46796E-4,17.012506042,0.610183983,0.464145723,0.152495379,0
3.48434E-4,17.256044184,0.611915418,0.462531704,0.154805915,0
3.49514E-4,17.500475878,0.613052101,0.460917685,0.156192237,0
3.50378E-4,17.780411056,0.613959165,0.459073092,0.159889094,0
3.50896E-4,18.025885013,0.614502256,0.457459073,0.16219963,0
3.51419E-4,18.271749389,0.615049736,0.455845054,0.165434381,0
3.52014E-4,18.51800291,0.615670705,0.454231035,0.168669131,0
3.52851E-4,18.764794961,0.616544315,0.452617016,0.170979667,0
3.53742E-4,19.012170935,0.617471322,0.451002997,0.173752311,0
3.541E-4,19.259957634,0.617842888,0.449388979,0.176524954,0
3.54585E-4,19.508077971,0.618345712,0.44777496,0.179297597,0
3.54823E-4,19.756387697,0.618592729,0.446160941,0.18207024,0
3.55428E-4,20.005045253,0.619218408,0.444546922,0.184380776,0
3.55687E-4,20.253954963,0.619486977,0.442932903,0.186691312,0
3.5606E-4,20.503119436,0.619872496,0.441318884,0.189926063,0
3.56881E-4,20.752650722,0.620718683,0.439704865,0.193160813,0
3.57398E-4,21.002635208,0.621250968,0.438090846,0.195933457,0
3.58127E-4,21.253097145,0.622000904,0.436476827,0.199168207,0
3.58586E-4,21.503953294,0.622471091,0.434862808,0.201478743,0
3.59086E-4,21.755201721,0.622984247,0.433248789,0.202865065,0
3.59369E-4,22.006671598,0.623273799,0.431634771,0.205637708,0
3.59554E-4,22.258290773,0.623462737,0.430020752,0.208410351,0
3.60079E-4,22.510157775,0.62399992,0.428406733,0.211645102,0
3.60669E-4,22.762474392,0.624602183,0.426792714,0.214417745,0
3.60941E-4,23.015062472,0.62487925,0.425178695,0.217190388,0
3.61681E-4,23.267941242,0.625632789,0.423564676,0.219963031,0
3.62042E-4,23.521281387,0.625998902,0.421950657,0.222735675,0
3.62644E-4,23.774947043,0.626610347,0.420336638,0.225046211,0
3.6307E-4,24.02898672,0.627042467,0.418722619,0.227818854,0
3.63368E-4,24.283213147,0.627343961,0.4171086,0.230591497,0
3.6392E-4,24.501382384,0.627902279,0.415725156,0.232439926,0
3.64672E-4,24.756462724,0.628662124,0.414111137,0.234288355,0
3.65249E-4,25.011947838,0.629243275,0.412497118,0.237060998,0
3.65932E-4,25.26791745,0.629930649,0.410883099,0.239371534,0
3.66982E-4,25.524567671,0.630984343,0.40926908,0.242144177,0
3.67415E-4,25.781575857,0.631418079,0.407655061,0.244916821,0
3.67711E-4,26.002137701,0.631714706,0.406271616,0.247689464,0
3.68036E-4,26.25968766,0.632040035,0.404657597,0.250462107,0
3.68506E-4,26.517575401,0.63250944,0.403043579,0.25323475,0
3.69387E-4,26.775794756,0.633388177,0.40142956,0.255083179,0
3.69901E-4,27.034541725,0.633898935,0.399815541,0.25831793,0
3.71303E-4,27.256907635,0.635291116,0.398432096,0.260628466,0
3.71627E-4,27.516980184,0.635612189,0.396818077,0.263401109,0
3.72354E-4,27.777430155,0.636330953,0.395204058,0.266173752,0
3.73222E-4,28.001129399,0.637187204,0.393820613,0.268022181,0
3.73465E-4,28.262501643,0.637426787,0.392206594,0.270332717,0
3.7408E-4,28.524169644,0.638031915,0.390592576,0.272643253,0
3.7483E-4,28.786228845,0.63876829,0.388978557,0.275415896,0
3.75251E-4,29.011299539,0.639181283,0.387595112,0.27818854,0
3.76274E-4,29.274306807,0.640182442,0.385981093,0.280961183,0
3.76632E-4,29.500165976,0.640532726,0.384597648,0.283733826,0
3.76854E-4,29.763930637,0.640749752,0.382983629,0.28650647,0
3.77293E-4,30.027885817,0.641177805,0.38136961,0.288817006,0
3.77748E-4,30.25443428,0.64162061,0.379986166,0.291127542,0
3.78331E-4,30.519146545,0.642188124,0.378372147,0.294362292,0
3.78586E-4,30.784094001,0.642435957,0.376758128,0.297134935,0
3.7902E-4,31.011345821,0.642856995,0.375374683,0.299907579,0
3.79591E-4,31.276859995,0.643410977,0.373760664,0.303142329,0
3.80027E-4,31.504804144,0.643832399,0.372377219,0.305452865,0
3.80564E-4,31.771087652,0.644351931,0.3707632,0.308687616,0
3.80951E-4,32.037616476,0.64472573,0.369149181,0.311460259,0
3.81433E-4,32.266362395,0.645190765,0.367765737,0.313770795,0
3.81769E-4,32.53351762,0.645513656,0.366151718,0.317005545,0
3.82432E-4,32.762747357,0.646152346,0.364768273,0.319778189,0
3.8293E-4,33.030676282,0.646630226,0.363154254,0.323012939,0
3.8343E-4,33.260622907,0.647109569,0.361770809,0.325785582,0
3.8402E-4,33.529272676,0.647675553,0.36015679,0.329020333,0
3.84271E-4,33.759766263,0.647914901,0.358773346,0.331792976,0
3.84833E-4,34.028935354,0.648452315,0.357159327,0.335027726,0
3.85237E-4,34.259956905,0.64883822,0.355775882,0.337338262,0
3.8678E-4,34.530140096,0.650306865,0.354161863,0.339648799,0
3.87345E-4,34.762399428,0.650843345,0.352778418,0.342421442,0
3.88516E-4,35.034150754,0.651952505,0.351164399,0.345194085,0
3.89507E-4,35.267548405,0.652887427,0.349780955,0.347966728,0
3.9018E-4,35.501536304,0.653521691,0.34839751,0.348428835,0
3.90532E-4,35.774776993,0.653852545,0.346783491,0.351201479,0
3.91184E-4,36.009297362,0.654465774,0.345400046,0.353512015,0
3.92099E-4,36.283567383,0.655322824,0.343786027,0.355360444,0
3.92602E-4,36.518971559,0.655793684,0.342402582,0.358133087,0
3.93732E-4,36.75476405,0.656849042,0.341019138,0.359981516,0
3.94692E-4,37.030786539,0.657742986,0.339405119,0.362754159,0
3.95254E-4,37.267795451,0.65826458,0.338021674,0.365526802,0
3.95796E-4,37.505146456,0.6587679,0.336638229,0.368299445,0
3.96617E-4,37.782573797,0.659527393,0.33502421,0.370147874,0
3.97165E-4,38.020726829,0.660034255,0.333640766,0.37245841,0
3.97999E-4,38.259243619,0.660803539,0.332257321,0.374768946,0
3.99157E-4,38.538236522,0.661868741,0.330643302,0.37754159,0
3.99708E-4,38.777973116,0.662374557,0.329259857,0.380314233,0
4.0023E-4,39.01795495,0.662852931,0.327876412,0.382624769,0
4.00694E-4,39.258182602,0.663277955,0.326492967,0.385397412,0
4.015E-4,39.539006051,0.664014667,0.324878949,0.388632163,0
4.02054E-4,39.780094017,0.664519222,0.323495504,0.391404806,0
4.02932E-4,40.021717049,0.665318479,0.322112059,0.394177449,0
4.03729E-4,40.263746314,0.666042945,0.320728614,0.396487985,0
4.04413E-4,40.506174385,0.666662627,0.319345169,0.398798521,0
4.05007E-4,40.7895112,0.667200075,0.317731151,0.402033272,0
4.05286E-4,41.032608591,0.667451665,0.316347706,0.404805915,0
4.06089E-4,41.276059528,0.668176787,0.314964261,0.407578558,0
4.06599E-4,41.519930281,0.668635972,0.313580816,0.410351201,0
4.06834E-4,41.763957879,0.6688473,0.312197371,0.413123845,0
4.07443E-4,42.008296812,0.669395229,0.310813927,0.415434381,0
4.07751E-4,42.252874931,0.669671883,0.309430482,0.417744917,0
4.08099E-4,42.538459407,0.669983185,0.307816463,0.420979667,0
4.08488E-4,42.783503981,0.67033218,0.306433018,0.423290203,0
4.08826E-4,43.028702277,0.670634859,0.305049573,0.425600739,0
4.09143E-4,43.274105599,0.670918285,0.303666129,0.428373383,0
4.09544E-4,43.519738235,0.671276472,0.302282684,0.431146026,0
4.09766E-4,43.765542333,0.671474226,0.300899239,0.433456562,0
4.10113E-4,44.011504512,0.671784202,0.299515794,0.436229205,0
4.10451E-4,44.257705859,0.672085237,0.29813235,0.439001848,0
4.10823E-4,44.504095115,0.672416976,0.296748905,0.441774492,0
4.11505E-4,44.750823223,0.673023162,0.29536546,0.444547135,0
4.1171E-4,45.038966169,0.673205118,0.293751441,0.447781885,0
4.12109E-4,45.286101446,0.673559112,0.292367996,0.450092421,0
4.12394E-4,45.533489139,0.673811997,0.290984552,0.452402957,0
4.12706E-4,45.781046955,0.674087746,0.289601107,0.455175601,0
4.13041E-4,46.028816499,0.674384894,0.288217662,0.457948244,0
4.13202E-4,46.27670091,0.674526509,0.286834217,0.46025878,0
4.13478E-4,46.52469024,0.674771157,0.285450772,0.463031423,0
4.13926E-4,46.772942098,0.675166625,0.284067328,0.465804067,0
4.14244E-4,47.021382031,0.675446414,0.282683883,0.46857671,0
4.14452E-4,47.270024098,0.675630198,0.281300438,0.470887246,0
